"Key","Item_Type","Publication_Year","Author","Title","Publication_Title","ISBN","ISSN","DOI","Url","Abstract_Note","Date","Date_Added","Date_Modified","Access_Date","Pages","Num_Pages","Issue","Volume","Number_Of_Volumes","Journal_Abbreviation","Short_Title","Series","Series_Number","Series_Text","Series_Title","Publisher","Place","Language","Rights","Type","Archive","Archive_Location","Library_Catalog","Call_Number","Extra","Notes","File_Attachments","Link_Attachments","Manual_Tags","Automatic_Tags","Editor","Series_Editor","Translator","Contributor","Attorney_Agent","Book_Author","Cast_Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed_Author","Scriptwriter","Words_By","Guest","Number","Edition","Running_Time","Scale","Medium","Artwork_Size","Filing_Date","Application_Number","Assignee","Issuing_Authority","Country","Meeting_Name","Conference_Name","Court","References","Reporter","Legal_Status","Priority_Numbers","Programming_Language","Version","System","Code","Code_Number","Section","Session","Committee","History","Legislative_Body"
"QL7QPCXJ","book","2020","","Europe and Central Asia Economic Update, Spring 2020: Fighting COVID-19","","978-1-4648-1564-5","","","https://elibrary.worldbank.org/doi/abs/10.1596/978-1-4648-1564-5","","2020-04-08","2021-06-28 07:56:26","2021-06-28 07:56:49","2021-06-28 07:56:26","","96","","","","","Europe and Central Asia Economic Update, Spring 2020","Europe and Central Asia Economic Update","","","","The World Bank","","","","","","","elibrary.worldbank.org (Atypon)","","KIHS2018","","C:\Users\Ilias\Zotero\storage\XDBSNWDH\2020 - Europe and Central Asia Economic Update, Spring 20.pdf; C:\Users\Ilias\Zotero\storage\LH3BKWMG\978-1-4648-1564-5.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PJVAA92Y","book","2007","Murzalieva, Gulgun; Kojokeev, Kanat; Manjieva, Elina; Akkazieva, Baktygul; Samiev, Arnol; Botoeva, Gulzat; Ablezova, Mehrigul; Jakab, Melitta","Tracking Global HIV/AIDS Initiatives and Their Impact on the Health System: The Experience of the Kyrgyz Republic. Context Report","","","","","https://dspace.auca.kg/handle/123456789/220","","2007","2021-06-28 07:54:22","2021-06-28 07:54:35","2021-06-28 07:54:22","","","","","","","Tracking Global HIV/AIDS Initiatives and Their Impact on the Health System","","","","","","","en_US","","","","","dspace.auca.kg","","KIHS2004","","C:\Users\Ilias\Zotero\storage\WHTQJBLL\220.html; C:\Users\Ilias\Zotero\storage\F4QG2R4R\Murzalieva et al. - 2007 - Tracking Global HIVAIDS Initiatives and Their Imp.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ACUAJW8U","book","2018","","Kyrgyz Republic Sytematic Country Diagnostic","","","","","https://elibrary.worldbank.org/doi/abs/10.1596/30462","","2018-09-18","2021-06-28 07:51:19","2021-06-28 07:51:34","2021-06-28 07:51:19","","-1","","","","","","Systematic Country Diagnostic","","","","World Bank","","","","","","","elibrary.worldbank.org (Atypon)","","KIHS2015","","C:\Users\Ilias\Zotero\storage\46W4EN87\30462.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"593897TY","journalArticle","2011","Gassmann, Franziska","Protecting vulnerable families in Central Asia: Poverty, vulnerability and the impact of the economic crisis","","","","","http://collections.unu.edu/view/UNU:64","Since the end of 2007, countries in Central Asia have been struck by two major consecutive shocks: the food and fuel price increase in 2007-08, and the global economic and financial crisis that began at the end of 2008. Households, both poor and not poor, are directly and adversely affected by the crisis. The multi-dimensionality of the crises and the volatile economic environment challenge the ability of vulnerable households to cope and to maintain their living standards. Social protection programmes play an important role in the response to a crisis. This paper provides an overview of the social and economic vulnerabilities of households with children in the five Central Asian countries, and assesses the ability of national social protection systems to address these, with the main focus on the role of non-contributory cash transfers financed from general government revenues. The paper concludes that the existing social cash transfer systems are not effective in addressing the needs of poor and vulnerable children and families in Central Asia. Limited coverage together with limited funding reduces the potential poverty reduction impact of the programmes. The paper discusses potential strategies for improving existing systems by consolidating and protecting government spending, streamlining existing benefits and transfers, improving the identification of beneficiaries and strengthening administration, monitoring and evaluation systems.","2011","2021-06-28 07:48:22","2021-06-28 07:48:44","2021-06-28 07:48:22","","","","","","","Protecting vulnerable families in Central Asia","","","","","","","en","","","","","collections.unu.edu","","KIHS2008","","C:\Users\Ilias\Zotero\storage\E8Q6CR3F\Gassmann - 2011 - Protecting vulnerable families in Central Asia Po.pdf; C:\Users\Ilias\Zotero\storage\2MUW332P\UNU64.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"N7576LI8","journalArticle","2010","Bekturova, Aida","Agriculture, Rural Nonfarm Economy and Income Diversification: Rural Livelihoods in Kyrgyzstan","","","","","http://lup.lub.lu.se/student-papers/record/1661351","The aim of the thesis is to investigate livelihoods of rural households and the role agriculture and nonfarm economy play in them. More specifically, the paper investigates income generation and income diversification strategies employed by rural households in the northern part of Kyrgyzstan. Kyrgyzstan was one of the poorest Soviet Republics, which for nearly 20 nears since independence has been struggling with poverty, social and political instability. Qualitative approach of data collection, namely semi-structured interviews with experts and life history interviews with household members, was used in combination with quantitative data from previous studies as well as country reports of international aid organizations. It has been discovered that although agriculture remains an important driving force of the economy of the country, rural households rely on the income derived from agricultural activities as a safety net rather than main source of income. Rural household incomes were revealed to be largely comprised of income coming from rural nonfarm activities, including internal labor migration. The most successful risk management strategies were discovered to be employed by households that effectively utilized opportunities offered by both rural and urban areas – by combining regular wage employment as a stable source of income and farming income as a safety net.","2010","2021-06-28 07:41:56","2021-06-28 07:42:15","2021-06-28 07:41:56","","","","","","","Agriculture, Rural Nonfarm Economy and Income Diversification","","","","","","","eng","info:eu-repo/semantics/openAccess","","","","lup.lub.lu.se","","KIHS2004","","C:\Users\Ilias\Zotero\storage\J48BMY9P\Bekturova - 2010 - Agriculture, Rural Nonfarm Economy and Income Dive.pdf; C:\Users\Ilias\Zotero\storage\6W7RX3M8\1661351.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2BNAYYRH","journalArticle","2021","Europe, World Health Organization Regional Office for","Report on recommendations for the reform of public health services in the Kyrgyzstan","","","","","https://apps.who.int/iris/handle/10665/340701","","2021","2021-06-28 07:39:30","2021-06-28 07:40:06","2021-06-28 07:39:30","","","","","","","","","","","","","","en","","","","","apps.who.int","","KIHS2015","","C:\Users\Ilias\Zotero\storage\Y54BX6F9\340701.html; C:\Users\Ilias\Zotero\storage\WCWY5FLT\Europe - 2021 - Report on recommendations for the reform of public.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"M97UVLGY","journalArticle","2011","Meeks, Robyn","Communal Taps: Assessing the Impact of Shared Pipe Water Supplies in Kyrgyzstan","CID Research Fellow and Graduate Student Working Paper Series","","","","https://dash.harvard.edu/handle/1/37366535","Although shared piped water supply systems are an increasingly popular way of providing “improved water sources” in developing countries, little rigorous evidence exists on the benefits of such systems. To fill this gap, the research presented in this paper assesses a large-scale infrastructure project implemented in rural Kyrgyzstan. Using data on the scoring system designed to select villages for the project, this paper exploits a non-linearity that exists in the likelihood of being selected to identify the impacts of these improved water sources on village, household, and individual-level health-related outcomes. In doing so, the paper overcomes endogeneity concerns due to non-random village selection. The infrastructure project did improve water access in villages that are selected to receive a water supply system; households in such villages are less likely to use an unprotected source for their household water and are more likely to use a primary water source that is located less than 200 meters from the house. This results in a significant decrease in the village-level incidence of two water-related diseases, acute intestinal infections and Hepatitis A, in children 5 years old and younger. An analysis of impacts on incidence of a disease less likely to be directly affected by water access, specifically acute respiratory infections, was performed as a robustness check. As was hypothesized, there is no evidence that the improved water supply systems reduce acute respiratory infections.","2011-04","2021-06-28 07:37:25","2021-06-28 07:37:42","2021-06-28 07:37:25","","","","","","","Communal Taps","","","","","","","en_US","open","","","","dash.harvard.edu","","KIHS2008","","C:\Users\Ilias\Zotero\storage\ILZAIKGM\37366535.html; C:\Users\Ilias\Zotero\storage\DK5JWZNC\Meeks - 2011 - Communal Taps Assessing the Impact of Shared Pipe.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"29CV92LE","journalArticle","","Jakab, Melitta; Kutzin, Joseph","Policy Research Paper # 57","","","","","","","","2021-06-28 07:34:53","2021-06-28 07:36:43","","28","","","","","","","","","","","","","en","","","","","Zotero","","HBS2001","","C:\Users\Ilias\Zotero\storage\5V6CTGP7\Jakab and Kutzin - Policy Research Paper # 57.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"X3CT8I5P","book","2019","Yamano, Takashi; Hill, Hal; Ginting, Edimon; Samson, Jindra","Kyrgyz Republic: Improving Growth Potential","","978-92-9261-737-0","","","","The Kyrgyz Republic has overcome some complex challenges to now have one of the most open economies in Central Asia. The country has improved its per capita income and living standards and is on the threshold of becoming a lower-middle-income economy. Looking ahead, the main challenge for the Kyrgyz Republic is to build on these successes to stimulate stronger, more broad-based economic growth. This book identifies the economic and governance reforms needed within key sectors to drive this growth. It provides policy suggestions to enhance the country’s trade, agriculture, tourism, finance, information and communications technology, energy, transport and logistics, and human capital.","2019-09-01","2021-06-28 07:24:45","2021-06-28 07:24:59","","","281","","","","","Kyrgyz Republic","","","","","Asian Development Bank","","en","","","","","Google Books","","KIHS2016","","","https://books.google.kg/books?id=uoW4DwAAQBAJ","","Political Science / Public Policy / Economic Policy; Business & Economics / Economic Conditions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RLUK36WI","journalArticle","2014","Gullette, David; Croix, Jeanne Féaux de la","Mr Light and people's everyday energy struggles in Central Asia and the Caucasus: an introduction","Central Asian Survey","","0263-4937","10.1080/02634937.2014.989754","https://doi.org/10.1080/02634937.2014.989754","The perception of Central Asia and its place in the world has come to be shaped by its large oil and gas reserves. Literature on energy in the region has thus largely focused on related geopolitical issues and national policies. However, little is known about citizens’ needs within this broader context of commodities that connect the energy networks of China, Russia and the West. This multidisciplinary special issue brings together anthropologists, economists, geographers and political scientists to examine the role of all forms of energy (here: oil, gas, hydropower and solar power) and their products (especially electricity) in people's daily lives throughout Central Asia and the Caucasus. The papers in this issue ask how energy is understood as an everyday resource, as a necessity and a source of opportunity, a challenge or even as an indicator of exclusionary practices. We enquire into the role and views of energy sector workers, rural consumers and urban communities, and their experiences of energy companies’ and national policies. We further examine the legacy of Soviet and more recent domestic energy policies, the environmental of energy use as well as the political impact of citizens’ energy grievances.","2014-10-02","2021-06-28 07:21:34","2021-06-28 07:21:54","2021-06-28 07:21:34","435-448","","4","33","","","Mr Light and people's everyday energy struggles in Central Asia and the Caucasus","","","","","","","","","","","","Taylor and Francis+NEJM","","KIHS2011","","C:\Users\Ilias\Zotero\storage\JU6UEC98\02634937.2014.html","","","Central Asia; Afghanistan; Caucasus; conflict; electricity; energy; gas; identity; moral economy; oil","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EMAU4RZI","journalArticle","2011","Kürşad Aslan, Halil","Determinants of Productive Investment through Migrants’ Remittances in Rural Central Asia","Eskişehir Osmangazi Üniversitesi İktisadi ve İdari Bilimler Dergisi","","1306-6730","","https://dergipark.org.tr/en/pub/oguiibf/76548","Saha araştırmasına dayalı ve orjinal veriler ile desteklenen bu çalışmada işçi havalelerinin Orta Asya ülkelerinin kalkınmasına olan etkileri araştı‐ rılmaktadır. Kırgızistan ve Özbekistan’ı karşılaş‐ tırmalı olarak inceleyen bu çalışmada, işçi hava‐ lelerinin doğrudan verimli yatırımlara değil de tüketimsel yanı ağır basan yatırımlara kanalize edildiği görülmüştür. Bu iktisadi durum, Sovyet‐ ler Birliği döneminde izlenen makro politikaların, ve zaman içinde oturmuş sosyal ve siyasi kurum‐ ların, mikro bazda pek çok ekonomik tercihleri ve davranışları hala etkiledikleri; kolay kolay ortadan kaybolmadıkları ve kaybolmayacakları görülmektedir. Bunun için, siyasi reformlar hazırlanırken bu durumun gözönünde bulundu‐ rulması, dikkatli ve titizlikle formüle edilecek reform tasarılarının büyük bir sabırla takip edilmesi tavsiye edilmektedir. Anahtar Kelimeler: İşçi Havaleleri, Kalkınma, Orta Asya, Yeni Kuramsalcılık.","2011-06-01","2021-06-28 07:18:48","2021-06-28 07:19:12","2021-06-28 07:18:48","97-121","","2","6","","","","","","","","","","tr","","","","","dergipark.org.tr","","KIHS2003","","C:\Users\Ilias\Zotero\storage\5CAKINRN\76548.html; C:\Users\Ilias\Zotero\storage\EMTZ9B8Z\Kürşad Aslan - 2011 - Determinants of Productive Investment through Migr.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LNV9CFHM","report","2016","Tilekeyev, Kanat; Mogilevskii, Roman; Bolotbekova, Aida; Dzhumaeva, Shoola","Sheep Meat Production Value Chains in the Kyrgyz Republic and Export Capacity to the EAEU Member States","","","","","https://papers.ssrn.com/abstract=2946728","Sheep meat is one of the main products of Kyrgyz agriculture. It is a traditionally valuable local food product with the vast domestic market. The paper explores the trends in developing of the sub-sector of sheep meat during the post-Soviet period with an emphasis on internal production features and policies. The added value chains analysis study collects information from 48 market units – livestock – specialized farmers, market middlemen, and slaughter houses. It helps to understand the limits of production capacity, explores the internal market structure and technological constraints to export potential of sheep meat on external markets of Eurasian Economic Union (EAEU) – Russia and Kazakhstan. The work also adds to the understanding of the current status of the veterinary situation in Kyrgyzstan, as well as technical requirements for export to EAEU. Current problems overview and recommendations for policy makers explain the prospectives of the sheep meat subsector for a next decade.","2016","2021-06-28 07:16:34","2021-06-28 07:17:32","2021-06-28 07:16:34","","","","","","","","","","","","Social Science Research Network","Rochester, NY","en","","SSRN Scholarly Paper","","","papers.ssrn.com","","KIHS2013","","","","","Kyrgyz Republic; added value chains; agriculture; sheep meat","","","","","","","","","","","","","","","","","","","ID 2946728","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JLW4MM27","webpage","","","An empirical evaluation of the Kyrgyz health reform: Does it work for the poor? - ProQuest","","","","","https://www.proquest.com/openview/e917eab54bdbbf477251b13b61923615/1?pq-origsite=gscholar&cbl=18750&diss=y","Explore millions of resources from scholarly journals, books, newspapers, videos and more, on the ProQuest Platform.","","2021-06-28 07:15:02","2021-06-28 07:15:22","2021-06-28 07:15:02","","","","","","","An empirical evaluation of the Kyrgyz health reform","","","","","","","ru","","","","","","","KIHS unknown year","","C:\Users\Ilias\Zotero\storage\WRBALBYS\1.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ALNB34CH","report","2018","Mogilevskii, Roman; Thurlow, James; Yeh, Adeline","Kyrgyzstan’s Accession to the Eurasian Economic Union: Measuring Economy-Wide Impacts and Uncertainties","","","","","https://papers.ssrn.com/abstract=3807831","Joining the Eurasian Economic Union (EEU) has major economic implications for Kyrgyzstan, a small economy in which foreign remittances and profits from re-export trade generate almost a third of the national income. Most EEU studies overlook Kyrgyzstan or focus on specific impact channels, such as changes in tariffs, re-exporting, or migration. We use a computable general equilibrium model to estimate the net impact of multiple channels. We incorporate uncertainty into our analysis using a stochastic simulation procedure and empirically-informed impact distributions. The results indicate that accession is expected to reduce national welfare, because falling profits from re-exporting outweigh higher migrant remittances and tariff revenues. There is, however, a one-in-four chance that national welfare increases, as well as a strong likelihood that poor households benefit from accession. Achieving these gains depends on the successful integration of regional labor markets, not just product markets, and on the proposed Russia-Kyrgyzstan Development Fund. Our recommendations apply to other small Central Asian economies considering joining the EEU.","2018-03-01","2021-06-28 06:40:58","2021-06-28 06:41:20","2021-06-28 06:40:58","","","","","","","Kyrgyzstan’s Accession to the Eurasian Economic Union","","","","","Social Science Research Network","Rochester, NY","en","","SSRN Scholarly Paper","","","papers.ssrn.com","","KIHS2011","","C:\Users\Ilias\Zotero\storage\KSSCJX6F\papers.html","","","Kyrgyzstan; economy-wide model; Eurasian Economic Union","","","","","","","","","","","","","","","","","","","ID 3807831","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P8BZ3A3E","report","2011","Anderson, Kathryn H.; Kroeger, Antje","Remittances and Children’s Capabilities: New Evidence from Kyrgystan, 2005-2008","","","","","https://papers.ssrn.com/abstract=1950540","The Kyrgyz Republic is one of the largest recipients of international remittances in the world; from a Balance of Payments measure of remittances, it ranked tenth in the world in 2008 in the ratio of remittances to GDP, a rapid increase from 30th place in 2004. Remittances can be used to maintain the household’s standard of living by providing income to families with unemployed and underemployed adult members. Remittances can also be used to promote investment not only in businesses and communities but also in people. In this paper, we examine the role that remittances have played in the Kyrgyz Republic in promoting investments in children. Based on the capabilities approach to well-being initiated by Sen (2010), we look at the impact of remittances and domestic transfer payments primarily from internal migration on children’s education and health. Our outcomes include enrollment in school and preschool, expenditures, stunting and wasting of preschool children, and health habits of older children. We use unique panel data from the Kyrgyz Republic for 2005-2008 and thus control for some of the biases inherent in cross-sectional studies of remittances and family outcomes. We find that overall remittances and domestic transfers have not promoted investments in the human capital of children. Specifically, preschool enrollments were higher in the urban north but secondary school enrollments were lower in other regions in remittance receiving households; expenditures were also negatively affected in the south and the mountain areas. These negative enrollment results were larger for girls than for boys. We also found evidence of stunting and wasting among young children and worse health habits among boys in remittance or transfer receiving households. In the long run, Kyrgyzstan needs human capital development for growth; our results suggest that remittances are not providing the boost needed in human capital to promote development in the future.","2011-10-01","2021-06-28 06:38:45","2021-06-28 06:39:17","2021-06-28 06:38:45","","","","","","","Remittances and Children’s Capabilities","","","","","Social Science Research Network","Rochester, NY","en","","SSRN Scholarly Paper","","","papers.ssrn.com","","KIHS2008","","C:\Users\Ilias\Zotero\storage\BYQTIUGL\papers.html","","","Central Asia; Kyrgyzstan; Children’s education and health; Remittances","","","","","","","","","","","","","","","","","","","ID 1950540","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BAADINM5","journalArticle","","Jakab, Melitta; Smith, Barton; Sautenkova, Nina; Abdraimova, Aida; Temirov, Adyl; Kadyralieva, Ryskul; Mukeeva, Suyumjan; Murzakarimovna, Larissa","Better non-communicable disease outcomes: challenges and opportunities for health systems","","","","","","","","2021-06-28 06:36:41","2021-06-28 06:37:04","","62","","","","","","","","","","","","","en","","","","","Zotero","","KIHS2010","","C:\Users\Ilias\Zotero\storage\6IEM9Y5H\Jakab et al. - Better non-communicable disease outcomes challeng.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YI2PHZU5","journalArticle","2013","Meeks, Robyn","Essays on the Economics of Household Water Access in Developing Countries","","","","","https://dash.harvard.edu/handle/1/10288830","This dissertation focuses on the economics of household water access in developing countries. The first paper explores whether improvements in water technology enable changes in household time allocation and, thereby, productivity gains. To do so, it exploits differences in timing of shared water tap construction across Kyrgyz villages. Households in villages that received the drinking water infrastructure are more likely to have water close to their homes. This reduced the time intensity of home production activities impacted by water. Village-level incidence of acute intestinal infections fell amongst children. Although adults show no signs of health improvements, they do benefit from reductions in the time spent caring for sick children. Individuals reallocate time savings to additional leisure and market labor, primarily work on the household farm, and the returns to the additional farm labor approximately equal the hourly farm wage. Time intensive water collection can be a source of gender inequality in households lacking water infrastructure. The second paper uses a natural experiment to investigate culture as a source of gender inequality and its role in determining gender roles for activities, such as water collection. Using exogenous variation in district-level cultural composition due to events in Kyrgyzstan during Soviet rule, I estimate the persistence of differences in gender equality between traditional sedentary farming cultures and nomadic herding cultures. Results indicate that Soviet institutions increased educational attainment in both cultures. Other cultural differences - such as gender of household water collector and perceptions of domestic violence - persist. One impediment to the construction of water infrastructure is insecure land tenure or property rights. The third paper explores whether alleviating this impediment through a program providing land titles in rural Peru is associated with improvements in water access. Utilizing the phased in timing, I exploit the differences in project implementation timing between households that held property titles prior to the project and those that did not. Results indicate that land titling is associated with increases in water access. Supporting evidence suggests that either the government or a utility might be responsible for the improvements.","2013-02-13","2021-06-28 06:17:40","2021-06-28 06:18:20","2021-06-28 06:17:40","","","","","","","","","","","","","","en_US","closed access","","","","dash.harvard.edu","","KIHS unknown year","","C:\Users\Ilias\Zotero\storage\W9WDPQPM\10288830.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8P68GLUF","report","2011","Mogilevsky, Roman; Omorova, Anara","Assessing Development Strategies to Achieve the MDGs in Asia - Macroeconomic Strategies of MDG Achievement in the Kyrgyz Republic","","","","","https://papers.ssrn.com/abstract=1865746","The paper aims at analyzing macroeconomic and financial strategies, which are to ensure achievement of the Millennium Development Goals (MDGs) in the Kyrgyz Republic. The paper is based on results of simulations generated through the application of standard MAMS, a computable general equilibrium model adjusted to the country situation and calibrated with data of Kyrgyzstan. MAMS-model-based simulation results indicate that a continuation of the current policies under the baseline scenario would allow for achieving MDG1 (poverty reduction) only; the country would fall short of the targets for other MDGs. In order to achieve all MDGs, the country needs to increase government spending on MDG-relevant sectors (education, health, water and sanitation) by 7.8-8.1% of GDP per annum in comparison to the baseline scenario. The scenario that combines increased taxes and aid inflows seems to be the most realistic, but it would still require very substantial increases in tax collections and grant aid. The situation is going to be easier, if the economic growth rates 2011-2015 would be higher than 7% per annum. This is possible, if the government would be more successful in implementation of structural reforms, FDI and private domestic investments attraction and mobilization of resources for infrastructure development. Another possible way out is a substantial increase in government spending efficiency allowing for receiving higher social returns for money spent.","2011-06-16","2021-06-28 05:15:50","2021-06-28 05:16:12","2021-06-28 05:15:50","","","","","","","","","","","","Social Science Research Network","Rochester, NY","en","","SSRN Scholarly Paper","","","papers.ssrn.com","","KIHS2007","","C:\Users\Ilias\Zotero\storage\XQS6J2WF\papers.html; C:\Users\Ilias\Zotero\storage\VK3FE7MY\Mogilevsky and Omorova - 2011 - Assessing Development Strategies to Achieve the MD.pdf","","","CGE model; kyrgyzstan; macroeconomic policies; millennium development goals","","","","","","","","","","","","","","","","","","","ID 1865746","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4JKDB5DD","journalArticle","2018","Tilekeyev, Kanat; Mogilevskii, Roman; Abdrazakova, Nazgul; Dzhumaeva, Shoola","Production and Exports of Kidney Beans in the Kyrgyz Republic: Value Chain Analysis","SSRN Electronic Journal","","1556-5068","10.2139/ssrn.3807836","https://www.ssrn.com/abstract=3807836","This report provides results of the study of the kidney bean (Phaseolus vulgaris) production and the marketing value chain in theyKrgyz Republic. The main tool of this survey is field study of farmers, dealers-wholesalers, and bean exporters with elements of quantitative and qualitative methods, as well as the results of desk analysis using open sources of information. The report analyzes agrotechnical conditions for bean production, including data on bean-related phytosanitary safety and the situation with bean-related food safety standards when exporting it and marketing problems in foreign markets. Findings of the study include the main barriers and constraints to increasing domestic production, improving bean quality and processing, and improv-ing the phytosanitary situation and food safety standards; recommendations on Kyrgyz bean market improvement are also included.","2018","2021-06-28 05:13:33","2021-06-28 05:13:54","2021-06-28 05:13:33","","","","","","SSRN Journal","Production and Exports of Kidney Beans in the Kyrgyz Republic","","","","","","","en","","","","","DOI.org (Crossref)","","KIHS2014","","C:\Users\Ilias\Zotero\storage\2MA9VUUD\Tilekeyev et al. - 2018 - Production and Exports of Kidney Beans in the Kyrg.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CYW2KS9A","book","2008","Gottret, Pablo; Schieber, George; Waters, Hugh R.","Good Practices in Health Financing","","978-0-8213-7511-2","","","https://elibrary.worldbank.org/doi/abs/10.1596/978-0-8213-7511-2","","2008-06-30","2021-06-28 05:12:16","2021-06-28 05:12:35","2021-06-28 05:12:16","","504","","","","","","","","","","The World Bank","","","","","","","elibrary.worldbank.org (Atypon)","","KIHS2004","","C:\Users\Ilias\Zotero\storage\59NC5LMJ\978-0-8213-7511-2.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GIV5BX3E","book","2019","Nguyen, Ha Thi Hong; Strizrep, Tihomir","Toward a More Pro-Poor and Explicit Health Benefit Package in the Kyrgyz Republic","","","","","https://elibrary.worldbank.org/doi/abs/10.1596/33096","","2019-10-01","2021-06-28 05:09:43","2021-06-28 05:10:10","2021-06-28 05:09:43","","-1","","","","","","Health, Nutrition and Population Discussion Papers","","","","World Bank","","","","","","","elibrary.worldbank.org (Atypon)","","KIHS2014","","C:\Users\Ilias\Zotero\storage\KXIHXSQV\33096.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"29TSZ4WD","journalArticle","","Falkingham, Jane","Children in Transition:","","","","","","This paper examines trends in the prevalence and severity of child poverty in the Kyrgyz Republic since the mid 1990s. Poverty is a multi-dimensional phenomenon and trends in both monetary poverty, as measured by household expenditure, and capability poverty, as measured by education, health status and access to related social services, are discussed. Recent evidence on child food security is also presented. Using newly available panel data from the 1998-2001 Household Budget Survey, the paper also investigates the dynamics of childhood poverty, investigating the duration of material poverty and factors associated with movements in and out of poverty.","","2021-06-28 05:05:00","2021-06-28 05:05:21","","31","","","","","","","","","","","","","en","","","","","Zotero","","HBS2002","","C:\Users\Ilias\Zotero\storage\BDXPKAF9\Falkingham - Children in Transition.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TPDDNMHM","journalArticle","2021","Krawchenko, Bohdan; Enikeeva, Zalina; Krawchenko, Tamara","Universities and Society in Kyrgyzstan: A Historical, Political and Economic Perspective","Socially Responsible Higher Education","","","10.1163/9789004459076_012","https://brill.com/view/book/edcoll/9789004459076/BP000022.xml","<section class=""abstract""><h2 class=""abstractTitle text-title my-1"" id=""d16570841e14719"">Abstract</h2><p>Kyrgyzstan – a low-income Central Asian country with a population of 6.4 million – inherited its educational infrastructure from the <span style=""font-variant: small-caps;"">USSR</span>, including a system of social and spatial stratification. In the post-Independence era, demand for higher education has ballooned. Today there are 51 universities, but connections to knowledge production, labour market demand and social need are weak. This chapter charts the role of higher education in Kyrgyzstan’s development path from the pre- to the post-Independence era, outlines challenges facing reform and highlights some innovative approaches from the region.</p></section>","2021-04-23","2021-06-28 05:02:07","2021-06-28 05:02:35","2021-06-28 05:02:07","138-149","","","","","","Universities and Society in Kyrgyzstan","","","","","","","eng","","","","","brill.com","","KIHS2017","","C:\Users\Ilias\Zotero\storage\A2J8RB52\BP000022.html; C:\Users\Ilias\Zotero\storage\BZ7EFXIQ\Krawchenko et al. - 2021 - Universities and Society in Kyrgyzstan A Historic.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"97EBUBFW","journalArticle","2018","Wagstaff, Adam; Flores, Gabriela; Smitz, Marc-François; Hsu, Justine; Chepynoga, Kateryna; Eozenou, Patrick","Progress on impoverishing health spending in 122 countries: a retrospective observational study","The Lancet Global Health","","2214109X","10.1016/S2214-109X(17)30486-2","https://linkinghub.elsevier.com/retrieve/pii/S2214109X17304862","Background The goal of universal health coverage (UHC) requires that families who get needed health care do not suffer financial hardship as a result. This can be measured by instances of impoverishment, when a household’s consumption including out-of-pocket spending on health is more than the poverty line but its consumption, excluding out-of-pocket spending, is less than the poverty line. This links UHC directly to the policy goal of reducing poverty.","2018-02","2021-06-28 05:00:27","2021-06-28 05:00:45","2021-06-28 05:00:27","e180-e192","","2","6","","The Lancet Global Health","Progress on impoverishing health spending in 122 countries","","","","","","","en","","","","","DOI.org (Crossref)","","KIHS2011","","C:\Users\Ilias\Zotero\storage\VH2QJAEN\Wagstaff et al. - 2018 - Progress on impoverishing health spending in 122 c.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
