Country,Survey_name,Short_name,Year_of_collection,Type_of_study,Main_unit_of_observation,Other_units,Sample_size,Survey_coverage,Main_data_producer,Other_data_producers,Funders,Study_weblink,Company_that_collected_data,Mode_of_data_collection,Type_of_data,Primary_data_available,For_free,Data_weblink,Publication_and_other_links,Survey_description
Kyrgyzstan,Kyrgyz Integrated Household Survey,KIHS,2015,household survey,household,individual,"5,016",all regions,NSC,,Kyrgyz Government,,NSC,,Rotating panel,Yes,No,http://www.stat.kg/en/bazy-dannyh/,,"The survey has been conducted to measure the standards of living in Kyrgyz Republic to obtain a better estimation of poverty rates. It is designed to nationally represent the standards of living of each segment of population, and the poor in particular."
Kyrgyzstan,Kyrgyz Integrated Household Survey,KIHS,2014,household survey,household,individual,"5,016",all regions,NSC,,Kyrgyz Government,,NSC,,Rotating panel,Yes,No,http://www.stat.kg/en/bazy-dannyh/,,"The survey has been conducted to measure the standards of living in Kyrgyz Republic to obtain a better estimation of poverty rates. It is designed to nationally represent the standards of living of each segment of population, and the poor in particular."
Kyrgyzstan,Kyrgyz Integrated Household Survey,KIHS,2013,household survey,household,individual,"5,016",all regions,NSC,,Kyrgyz Government,,NSC,,Rotating panel,Yes,No,http://www.stat.kg/en/bazy-dannyh/,,"The survey has been conducted to measure the standards of living in Kyrgyz Republic to obtain a better estimation of poverty rates. It is designed to nationally represent the standards of living of each segment of population, and the poor in particular."
Kyrgyzstan,Kyrgyz Integrated Household Survey,KIHS,2012,household survey,household,individual,"5,016",all regions,NSC,,Kyrgyz Government,,NSC,,Rotating panel,Yes,No,http://www.stat.kg/en/bazy-dannyh/,,"The survey has been conducted to measure the standards of living in Kyrgyz Republic to obtain a better estimation of poverty rates. It is designed to nationally represent the standards of living of each segment of population, and the poor in particular."
Kyrgyzstan,Kyrgyz Integrated Household Survey,KIHS,2011,household survey,household,individual,"5,016",all regions,NSC,,Kyrgyz Government,,NSC,,Rotating panel,Yes,No,http://www.stat.kg/en/bazy-dannyh/,,"The survey has been conducted to measure the standards of living in Kyrgyz Republic to obtain a better estimation of poverty rates. It is designed to nationally represent the standards of living of each segment of population, and the poor in particular."
Kyrgyzstan,Kyrgyz Integrated Household Survey,KIHS,2010,household survey,household,individual,"5,016",all regions,NSC,,Kyrgyz Government,https://catalog.ihsn.org/index.php/catalog/3141/study-description,NSC,,Rotating panel,Yes,No,http://www.stat.kg/en/bazy-dannyh/,,"The survey has been conducted to measure the standards of living in Kyrgyz Republic to obtain a better estimation of poverty rates. It is designed to nationally represent the standards of living of each segment of population, and the poor in particular."
Kyrgyzstan,Kyrgyz Integrated Household Survey,KIHS,2009,household survey,household,individual,"5,016",all regions,NSC,,Kyrgyz Government,,NSC,,Rotating panel,Yes,No,,,"The survey has been conducted to measure the standards of living in Kyrgyz Republic to obtain a better estimation of poverty rates. It is designed to nationally represent the standards of living of each segment of population, and the poor in particular."
Kyrgyzstan,Kyrgyz Integrated Household Survey,KIHS,2008,household survey,household,individual,"5,016",all regions,NSC,,Kyrgyz Government,,NSC,,Rotating panel,Yes,No,,,"The survey has been conducted to measure the standards of living in Kyrgyz Republic to obtain a better estimation of poverty rates. It is designed to nationally represent the standards of living of each segment of population, and the poor in particular."
Kyrgyzstan,Kyrgyz Integrated Household Survey,KIHS,2007,household survey,household,individual,"5,016",all regions,NSC,,Kyrgyz Government,,NSC,,Rotating panel,Yes,No,,,"The survey has been conducted to measure the standards of living in Kyrgyz Republic to obtain a better estimation of poverty rates. It is designed to nationally represent the standards of living of each segment of population, and the poor in particular."
Kyrgyzstan,Kyrgyz Integrated Household Survey,KIHS,2006,household survey,household,individual,"5,016",all regions,NSC,,Kyrgyz Government,,NSC,,Rotating panel,Yes,No,,,"The survey has been conducted to measure the standards of living in Kyrgyz Republic to obtain a better estimation of poverty rates. It is designed to nationally represent the standards of living of each segment of population, and the poor in particular."
Kyrgyzstan,Kyrgyz Integrated Household Survey,KIHS,2005,household survey,household,individual,"5,016",all regions,NSC,,Kyrgyz Government,,NSC,,Rotating panel,Yes,No,,,"The survey has been conducted to measure the standards of living in Kyrgyz Republic to obtain a better estimation of poverty rates. It is designed to nationally represent the standards of living of each segment of population, and the poor in particular."
Kyrgyzstan,Kyrgyz Integrated Household Survey,KIHS,2004,household survey,household,individual,"5,016",all regions,NSC,,Kyrgyz Government,,NSC,,Rotating panel,Yes,No,,,"The survey has been conducted to measure the standards of living in Kyrgyz Republic to obtain a better estimation of poverty rates. It is designed to nationally represent the standards of living of each segment of population, and the poor in particular."
Kyrgyzstan,Kyrgyz Integrated Household Survey,KIHS,2003,household survey,household,individual,"5,016",all regions,NSC,,Kyrgyz Government,,NSC,,Rotating panel,Yes,No,,,"The survey has been conducted to measure the standards of living in Kyrgyz Republic to obtain a better estimation of poverty rates. It is designed to nationally represent the standards of living of each segment of population, and the poor in particular."
Kyrgyzstan,Household Budget Survey,HBS,2003,household survey,household,individual,"1,801",national,NSC,,,https://catalog.ihsn.org/index.php/catalog/3134,NSC,PAPI,cross-sectional,No,,,,"The survey has been conducted to measure the standards of living in Kyrgyz Republic to obtain a better estimation of poverty rates. It is designed to nationally represent the standards of living of each segment of population, and the poor in particular."
Kyrgyzstan,Household Budget Survey,HBS,2002,household survey,household,individual,"2,847",national,NSC,,,https://catalog.ihsn.org/catalog/3133,NSC,PAPI,cross-sectional,No,,,,"The survey has been conducted to measure the standards of living in Kyrgyz Republic to obtain a better estimation of poverty rates. It is designed to nationally represent the standards of living of each segment of population, and the poor in particular."
Kyrgyzstan,Household Budget Survey,HBS,2001,household survey,household,individual,"2,857",national,NSC,,,https://catalog.ihsn.org/catalog/3132,NSC,PAPI,cross-sectional,No,,,,"The survey has been conducted to measure the standards of living in Kyrgyz Republic to obtain a better estimation of poverty rates. It is designed to nationally represent the standards of living of each segment of population, and the poor in particular."
Kyrgyzstan,Household Budget Survey,HBS,2000,household survey,household,individual,"2,789",national,NSC,,,https://catalog.ihsn.org/catalog/3131,NSC,PAPI,cross-sectional,No,,,,"The survey has been conducted to measure the standards of living in Kyrgyz Republic to obtain a better estimation of poverty rates. It is designed to nationally represent the standards of living of each segment of population, and the poor in particular."
Kyrgyzstan,Household Budget Survey,HBS,1999,household survey,household,individual,"1,894",national,NSC,,,https://catalog.ihsn.org/catalog/3130,NSC,PAPI,cross-sectional,No,,,,"The survey has been conducted to measure the standards of living in Kyrgyz Republic to obtain a better estimation of poverty rates. It is designed to nationally represent the standards of living of each segment of population, and the poor in particular."
Kyrgyzstan,Household Budget Survey,HBS,1998,household survey,household,individual,"1,891",national,NSC,,,https://catalog.ihsn.org/index.php/catalog/3129,NSC,PAPI,cross-sectional,No,,,,"The survey has been conducted to measure the standards of living in Kyrgyz Republic to obtain a better estimation of poverty rates. It is designed to nationally represent the standards of living of each segment of population, and the poor in particular."
Kyrgyzstan,Household Budget Survey,HBS,1997,household survey,household,individual,"1,081",national,NSC,,,https://catalog.ihsn.org/index.php/catalog/3134,NSC,PAPI,cross-sectional,No,,,,Description not available
Kyrgyzstan,Household Budget Survey,HBS,1996,household survey,household,individual,"1,081",national,NSC,,,https://catalog.ihsn.org/index.php/catalog/3134,NSC,PAPI,cross-sectional,No,,,,Description not available
Kyrgyzstan,GALLUP World Poll,GWP,2013,,individual,,"1,000",national,Gallup,,,,SIAR,,cross-sectional,No,,,,"The Gallup World Poll continually surveys residents in more than 140 countries, representing 95% of the world’s adult population, using randomly selected, nationally representative samples."
Kyrgyzstan,GALLUP World Poll,GWP,2019,,individual,,"1,000",national,Gallup,,,,SIAR,,cross-sectional,No,,,siar-consult.com/en/news/kompaniya-siar-zavershila-ocherednuyu-volnu-vsemirnogo-oprosa-world-poll-gallup-2019/,"The Gallup World Poll continually surveys residents in more than 140 countries, representing 95% of the world’s adult population, using randomly selected, nationally representative samples."
Kyrgyzstan,GALLUP World Poll,GWP,2009,,individual,,"1,000",national,Gallup,,,,,,cross-sectional,No,,,https://news.gallup.com/poll/140771/Ethnic-Tensions-Evident-Kyrgyzstan-Conflict.aspx,"The Gallup World Poll continually surveys residents in more than 140 countries, representing 95% of the world’s adult population, using randomly selected, nationally representative samples."
Kyrgyzstan,Economics of a Light Bulb: Experimental Evidence on CFLs and End-User Behavior,ELB,2014,impact evaluation,household,,"1,000",Chui,Harvard University,World Bank,NSF,https://www.nsf.gov/awardsearch/showAward?AWD_ID=1061989,???,,cross-sectional,No,,,https://doi.org/10.1162/rest_a_00912,The study furthers knowledge on the behavioral barriers that arise from end-user interactions with energy-efficient technologies. The findings are relevant to several aspects of energy conservation policy.
Kyrgyzstan,Multiple Indicator Cluster Survey,MICS,2018,household survey,household,individual,"6,968",national,NSC,UNICEF; UNFPA; USAID,,http://mics.unicef.org/surveys,NSC,,cross-sectional,Yes,Yes,http://mics.unicef.org/surveys,,"The Multiple Indicator Cluster Surveys are household surveys implemented by countries under the programme developed by the United Nations Children's Fund to provide internationally comparable, statistically rigorous data on the situation of children and women."
Kyrgyzstan,Multiple Indicator Cluster Survey,MICS,2014,household survey,household,individual,"6,934",national,NSC,UNICEF,,http://mics.unicef.org/surveys,NSC,,cross-sectional,Yes,Yes,http://mics.unicef.org/surveys,http://www.stat.kg/media/files/6b64069d-83c0-41a7-b52b-50699f859bf3.pdf,"The Multiple Indicator Cluster Surveys are household surveys implemented by countries under the programme developed by the United Nations Children's Fund to provide internationally comparable, statistically rigorous data on the situation of children and women."
Kyrgyzstan,Multiple Indicator Cluster Survey,MICS,2005,household survey,household,individual,"5,200",national,NSC,UNICEF,,http://mics.unicef.org/surveys,NSC,,cross-sectional,Yes,Yes,http://mics.unicef.org/surveys,,"The Multiple Indicator Cluster Surveys are household surveys implemented by countries under the programme developed by the United Nations Children's Fund to provide internationally comparable, statistically rigorous data on the situation of children and women."
Kyrgyzstan,Multiple Indicator Cluster Survey,MICS,1995,household survey,household,individual,"7,170",national,NSC,UNICEF,,http://mics.unicef.org/surveys,NSC,,cross-sectional,No,,http://mics.unicef.org/surveys,,"The Multiple Indicator Cluster Surveys are household surveys implemented by countries under the programme developed by the United Nations Children's Fund to provide internationally comparable, statistically rigorous data on the situation of children and women."
Kyrgyzstan,Demographic and Health Survey,DHS,2012,household survey,household,individual,"8,040",national,USAID,,,https://dhsprogram.com/methodology/survey/survey-display-383.cfm,"NSC, Ministry of Health",,cross-sectional,Yes,Yes,https://dhsprogram.com/data/dataset/Kyrgyz-Republic_Standard-DHS_2012.cfm?flag=1,,"The Demographic and Health Surveys (DHS) Program has collected, analyzed, and disseminated accurate and representative data on population, health, HIV, and nutrition through more than 400 surveys in over 90 countries."
Kyrgyzstan,Demographic and Health Surveys,DHS,1997,household survey,household,individual,"3,672",national,USAID,,USAID,https://dhsprogram.com/methodology/survey/survey-display-109.cfm,"NSC, Ministry of Health",,cross-sectional,Yes,Yes,https://dhsprogram.com/data/dataset/Kyrgyz-Republic_Standard-DHS_1997.cfm?flag=1,,"The Demographic and Health Surveys (DHS) Program has collected, analyzed, and disseminated accurate and representative data on population, health, HIV, and nutrition through more than 400 surveys in over 90 countries."
Kyrgyzstan,Household Heating Practice Survey,HHPS,2015,household survey,household,,"1,500",national,World Bank,Ministry of Economy,World Bank,https://catalog.ihsn.org/index.php/catalog/6934,Sotseconic,CAPI,cross-sectional,No,,,,"The Kyrgyz Republic Household Heating Practice Survey 2015 is aimed to identify the types of heating systems used by the public, fuel types as well as the needs of the public in resources for heating their residential buildings."
Kyrgyzstan,Bribes vs. Taxes: Market Structure and Incentives,BTMSI,2017,impact evaluation,enterprise,,"2,339",national,McGill University,World Bank,PEDL,https://pedl.cepr.org/publications/bribes-vs-taxes-market-structure-and-incentives,?,,cross-sectional,No,,,https://www.socialscienceregistry.org/trials/2882,"The research team will randomly allocate each of the tax units Kyrgyzstan to either one of the three treatments or to a control group, and then compare the business outcomes, corruption levels and tax revenue by conducting three follow-up surveys and using a database of business taxpayers from the STS."
Kyrgyzstan,Enterprise Survey,ES,2019,enterprise survey,enterprise,,360,national,World Bank,"EBRD, EIB","World Bank, EBRD, EIB",https://microdata.worldbank.org/index.php/catalog/3566,SIAR,CAPI,cross-sectional,Yes,Yes,https://www.enterprisesurveys.org/en/data,,"The objective of the Enterprise Survey is to gain an understanding of what firms experience in the private sector. As part of its strategic goal of building a climate for investment, job creation, and sustainable growth, the World Bank has promoted improving the business environment as a key strategy for development, which has led to a systematic effort in collecting enterprise data across countries."
Kyrgyzstan,Enterprise Survey,ES,2013,enterprise survey,enterprise,,270,national,World Bank,EBRD,"World Bank, EBRD",https://microdata.worldbank.org/index.php/catalog/1963,IPSOS,PAPI,cross-sectional,Yes,Yes,https://www.enterprisesurveys.org/en/data,,"The objective of the Enterprise Survey is to gain an understanding of what firms experience in the private sector. As part of its strategic goal of building a climate for investment, job creation, and sustainable growth, the World Bank has promoted improving the business environment as a key strategy for development, which has led to a systematic effort in collecting enterprise data across countries."
Kyrgyzstan,Enterprise Survey,ES,2009,enterprise survey,enterprise,,235,national,World Bank,EBRD,"World Bank, EBRD",https://microdata.worldbank.org/index.php/catalog/186,James & Tailor Consulting,PAPI,cross-sectional,Yes,Yes,https://www.enterprisesurveys.org/en/data,,"The objective of the Enterprise Survey is to gain an understanding of what firms experience in the private sector. As part of its strategic goal of building a climate for investment, job creation, and sustainable growth, the World Bank has promoted improving the business environment as a key strategy for development, which has led to a systematic effort in collecting enterprise data across countries."
Kyrgyzstan,Enterprise Survey,ES,2005,enterprise survey,enterprise,,202,national,World Bank,EBRD,"World Bank, EBRD",https://microdata.worldbank.org/index.php/catalog/185,Synovate,PAPI,cross-sectional,Yes,Yes,https://www.enterprisesurveys.org/en/data,,"The objective of the Enterprise Survey is to gain an understanding of what firms experience in the private sector. As part of its strategic goal of building a climate for investment, job creation, and sustainable growth, the World Bank has promoted improving the business environment as a key strategy for development, which has led to a systematic effort in collecting enterprise data across countries."
Kyrgyzstan,Business Environment and Enterprise Performance Survey,BEEPS,2003,enterprise survey,enterprise,,102,national,World Bank,EBRD,"World Bank, EBRD",https://microdata.worldbank.org/index.php/catalog/605,SIAR,PAPI,cross-sectional,Yes,Yes,https://www.enterprisesurveys.org/en/data,,The initial goal of the study is to better understand conditions for doing business in targeted countries and how they compare to other countries. The ultimate goal of the research is to advise governments on ways to change policies and practices that impose a burden on private firms and to develop new projects and programs that strengthen support for enterprise growth.
Kyrgyzstan,Central Asia Barometer,CAB,2012,individual survey,individual,,"1,500",,,,,http://www.centralasiabarometer.org/,CAB,,cross-sectional,No,,,,Description not available
Kyrgyzstan,Central Asia Barometer,CAB,2013,individual survey,individual,,"1,500",,,,,http://www.centralasiabarometer.org/,CAB,,cross-sectional,No,,,,Description not available
Kyrgyzstan,Central Asia Barometer,CAB,2014,individual survey,individual,,"1,500",,,,,http://www.centralasiabarometer.org/,CAB,,cross-sectional,No,,,,Description not available
Kyrgyzstan,Central Asia Barometer,CAB,2015,individual survey,individual,,"1,500",,,,,http://www.centralasiabarometer.org/,CAB,,cross-sectional,No,,,,Description not available
Kyrgyzstan,Central Asia Barometer,CAB,2016,individual survey,individual,,"1,500",,,,,http://www.centralasiabarometer.org/,CAB,,cross-sectional,No,,,,Description not available
Kyrgyzstan,Central Asia Barometer,CAB,2017,individual survey,individual,,"1,500",national,CAB,,,https://ca-barometer.org/en/projects/central-asia-barometer-survey-wave-1,CAB,CATI,cross-sectional,Yes,Yes,https://ca-barometer.org/en/cab-database/central-asia-barometer-survey-wave-1,,"The goal of this project was to obtain a reliable understanding of public opinion in several countries. The survey included questions about the political and economic situation in each country, attitudes towards the government, relations between ethnic groups, opinions on political leaders, opinions on other countries, and media usage."
Kyrgyzstan,International Republican Institute Poll,IRI Poll,2021,individual survey,individual,,"1,200",national,IRI,,USAID,https://www.iri.org/sites/default/files/en_slides_kgz-21-ns-01-pt_1.pdf,SIAR,CATI,cross-sectional,No,,,,"IRI focuses on strengthening capacity of political actors in order to address key areas of citizen concern by encouraging the development of issue-based platforms and campaigns, improving their organizational and management skills. Annually, IRI conducts a national poll that assesses public opinion on political, economic, social, international and electoral affairs."
Kyrgyzstan,International Republican Institute Poll,IRI Poll,2020,individual survey,individual,,"1,200",national,IRI,,USAID,https://www.iri.org/sites/default/files/iri_kyrgyzstan_poll_dec_2020_eng.pdf,SIAR,CATI,cross-sectional,No,,,,"IRI focuses on strengthening capacity of political actors in order to address key areas of citizen concern by encouraging the development of issue-based platforms and campaigns, improving their organizational and management skills. Annually, IRI conducts a national poll that assesses public opinion on political, economic, social, international and electoral affairs."
Kyrgyzstan,International Republican Institute Poll,IRI Poll,2020,individual survey,individual,,"1,223",national,IRI,,USAID,https://www.iri.org/sites/default/files/kyrgyzstan_august_2020_slides_public_release.pdf,SIAR,CATI,cross-sectional,No,,,,"IRI focuses on strengthening capacity of political actors in order to address key areas of citizen concern by encouraging the development of issue-based platforms and campaigns, improving their organizational and management skills. Annually, IRI conducts a national poll that assesses public opinion on political, economic, social, international and electoral affairs."
Kyrgyzstan,International Republican Institute Poll,IRI Poll,2019,individual survey,individual,,"1,483",national,IRI,Baltic Surveys / The Gallup Organization,USAID,https://www.iri.org/sites/default/files/final_kygyzstan_slides.pdf,SIAR,PAPI,cross-sectional,No,,,,"IRI focuses on strengthening capacity of political actors in order to address key areas of citizen concern by encouraging the development of issue-based platforms and campaigns, improving their organizational and management skills. Annually, IRI conducts a national poll that assesses public opinion on political, economic, social, international and electoral affairs."
Kyrgyzstan,International Republican Institute Poll,IRI Poll,2018,individual survey,individual,,"1,500",national,IRI,Baltic Surveys / The Gallup Organization,USAID,https://www.iri.org/sites/default/files/february_2019_kyrgyzstan_poll.pdf,SIAR,PAPI,cross-sectional,No,,,,"IRI focuses on strengthening capacity of political actors in order to address key areas of citizen concern by encouraging the development of issue-based platforms and campaigns, improving their organizational and management skills. Annually, IRI conducts a national poll that assesses public opinion on political, economic, social, international and electoral affairs."
Kyrgyzstan,International Republican Institute Poll,IRI Poll,2017,individual survey,individual,,"1,500",national,IRI,Baltic Surveys / The Gallup Organization,EU,https://www.iri.org/sites/default/files/2018-2-5_iri_poll_presentation_kyrgyzstan.pdf,SIAR-Bishkek,PAPI,cross-sectional,No,,,,"IRI focuses on strengthening capacity of political actors in order to address key areas of citizen concern by encouraging the development of issue-based platforms and campaigns, improving their organizational and management skills. Annually, IRI conducts a national poll that assesses public opinion on political, economic, social, international and electoral affairs."
Kyrgyzstan,International Republican Institute Poll,IRI Poll,2017,individual survey,individual,,"1,500",national,IRI,Baltic Surveys / The Gallup Organization,USAID,https://www.iri.org/sites/default/files/wysiwyg/kyrgyzstan_february-march_2017_-_public.pdf,SIAR-Bishkek,PAPI,cross-sectional,No,,,,"IRI focuses on strengthening capacity of political actors in order to address key areas of citizen concern by encouraging the development of issue-based platforms and campaigns, improving their organizational and management skills. Annually, IRI conducts a national poll that assesses public opinion on political, economic, social, international and electoral affairs."
Kyrgyzstan,International Republican Institute Poll,IRI Poll,2016,individual survey,individual,,"1,500",national,IRI,Baltic Surveys / The Gallup Organization,"USAID, EU",https://www.iri.org/sites/default/files/wysiwyg/public-iri_poll_presentation-kyrgyzstan_march_2016_eng.pdf,SIAR-Bishkek,PAPI,cross-sectional,No,,,,"IRI focuses on strengthening capacity of political actors in order to address key areas of citizen concern by encouraging the development of issue-based platforms and campaigns, improving their organizational and management skills. Annually, IRI conducts a national poll that assesses public opinion on political, economic, social, international and electoral affairs."
Kyrgyzstan,International Republican Institute Poll,IRI Poll,2015,individual survey,individual,,"1,500",national,IRI,Baltic Surveys / The Gallup Organization,USAID,https://www.iri.org/sites/default/files/wysiwyg/2015-09-25_survey_of_kyrgyz_public_opinion_july_22-31_2015.pdf,SIAR-Bishkek,PAPI,cross-sectional,No,,,,"IRI focuses on strengthening capacity of political actors in order to address key areas of citizen concern by encouraging the development of issue-based platforms and campaigns, improving their organizational and management skills. Annually, IRI conducts a national poll that assesses public opinion on political, economic, social, international and electoral affairs."
Kyrgyzstan,International Republican Institute Poll,IRI Poll,2015,individual survey,individual,,"1,500",national,IRI,Baltic Surveys / The Gallup Organization,USAID,https://www.iri.org/sites/default/files/wysiwyg/2015-04-21_public_opinion_survey_residents_of_kyrgyzstan_february_10-march_5_2015.pdf,SIAR-Bishkek,PAPI,cross-sectional,No,,,,"IRI focuses on strengthening capacity of political actors in order to address key areas of citizen concern by encouraging the development of issue-based platforms and campaigns, improving their organizational and management skills. Annually, IRI conducts a national poll that assesses public opinion on political, economic, social, international and electoral affairs."
Kyrgyzstan,International Republican Institute Poll,IRI Poll,2014,,,,,,,,,,,,,,,,,Description not available
Kyrgyzstan,International Republican Institute Poll,IRI Poll,2014,individual survey,individual,,"1,500",national,IRI,Baltic Surveys / The Gallup Organization,USAID,http://www.iri.org/sites/default/files/2014%20May%2014%20Public%20Opinion%20Survey%20Residents%20of%20Kyrgyzstan%2C%20February%204-21%2C%202014.pdf,SIAR-Bishkek,PAPI,cross-sectional,No,,,,"IRI focuses on strengthening capacity of political actors in order to address key areas of citizen concern by encouraging the development of issue-based platforms and campaigns, improving their organizational and management skills. Annually, IRI conducts a national poll that assesses public opinion on political, economic, social, international and electoral affairs."
Kyrgyzstan,International Republican Institute Poll,IRI Poll,2013,,,,,,,,,,,,,,,,,Description not available
Kyrgyzstan,International Republican Institute Poll,IRI Poll,2012,,,,,,,,,,,,,,,,,Description not available
Kyrgyzstan,International Republican Institute Poll,IRI Poll,2012,individual survey,individual,,"1,500",national,IRI,Baltic Surveys / The Gallup Organization,USAID,http://www.iri.org/sites/default/files/2012%20April%2011%20Survey%20of%20Kyrgyzstan%20Public%20Opinion%2C%20February%204-27%2C%202012.pdf,SIAR-Bishkek,PAPI,cross-sectional,No,,,,"IRI focuses on strengthening capacity of political actors in order to address key areas of citizen concern by encouraging the development of issue-based platforms and campaigns, improving their organizational and management skills. Annually, IRI conducts a national poll that assesses public opinion on political, economic, social, international and electoral affairs."
Kyrgyzstan,International Republican Institute Poll,IRI Poll,2011,individual survey,individual,,"1,500",national,IRI,Baltic Surveys / The Gallup Organization,USAID,http://www.iri.org/sites/default/files/flip_docs/KYRGYZSTAN%20NATIONAL%20OPINION%20POLL%20September%202010/HTML/index.html,SIAR-Bishkek,PAPI,cross-sectional,No,,,,"IRI focuses on strengthening capacity of political actors in order to address key areas of citizen concern by encouraging the development of issue-based platforms and campaigns, improving their organizational and management skills. Annually, IRI conducts a national poll that assesses public opinion on political, economic, social, international and electoral affairs."
Kyrgyzstan,International Republican Institute Poll,IRI Poll,2011,individual survey,individual,,"1,500",national,IRI,Baltic Surveys / The Gallup Organization,USAID,https://www.iri.org/resource/iri-releases-survey-kyrgyzstan-public-opinion-1,SIAR-Bishkek,PAPI,cross-sectional,No,,,,"IRI focuses on strengthening capacity of political actors in order to address key areas of citizen concern by encouraging the development of issue-based platforms and campaigns, improving their organizational and management skills. Annually, IRI conducts a national poll that assesses public opinion on political, economic, social, international and electoral affairs."
